,baths,baths_1qtr,baths_3qtr,baths_full,baths_half,beds,city,garage,list_price,lot_sqft,name,sold_date,sold_price,sqft,stories,sub_type,type,year_built
0,1.0,0,0.0,1.0,0.0,3.0,Los Angeles,2.0,745000.0,7018.0,0,2021-09-01,760000.0,1031.0,1.0,0,single_family,1949.0
1,2.0,0,0.0,2.0,0.0,2.0,Los Angeles,0.0,699000.0,12776.0,0,2021-09-01,695000.0,1396.0,4.0,condo,condos,1982.0
2,3.0,0,2.0,1.0,0.0,3.0,Los Angeles,0.0,1200000.0,6351.0,0,2021-09-01,1385000.0,1881.0,1.0,0,single_family,1953.0
3,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,0.0,675000.0,2153275.0,0,2021-09-01,675000.0,1688.0,1.0,0,mobile,2015.0
4,3.0,0,0.0,3.0,0.0,5.0,Los Angeles,2.0,795000.0,7742.0,0,2021-09-01,870000.0,2098.0,1.0,0,single_family,1970.0
5,2.0,0,0.0,2.0,0.0,2.0,Los Angeles,3.0,259000.0,0.0,0,2021-09-01,240000.0,0.0,1.0,0,mobile,1969.0
6,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,2.0,1550000.0,6752.0,0,2021-09-01,1415000.0,2872.0,2.0,0,single_family,1946.0
7,3.0,0,0.0,3.0,0.0,3.0,Los Angeles,2.0,799999.0,6961.0,0,2021-09-01,810000.0,1960.0,2.0,townhouse,townhomes,2006.0
8,1.0,0,0.0,1.0,0.0,1.0,Los Angeles,1.0,775000.0,223036.0,0,2021-09-01,750000.0,805.0,21.0,condo,condos,1966.0
9,5.0,0,0.0,5.0,0.0,5.0,Los Angeles,2.0,3250000.0,4541.0,0,2021-09-01,3250000.0,3560.0,1.0,0,single_family,1949.0
10,3.0,0,0.0,3.0,0.0,3.0,Los Angeles,2.0,1795000.0,3515.0,0,2021-09-01,1795000.0,2328.0,2.0,0,single_family,2006.0
11,1.0,0,0.0,1.0,0.0,2.0,Los Angeles,1.0,849000.0,3335.0,0,2021-09-01,875000.0,859.0,1.0,0,single_family,1957.0
12,3.0,0,0.0,3.0,0.0,3.0,Los Angeles,2.0,1124999.0,11102.0,0,2021-09-01,1275000.0,2586.0,1.0,0,single_family,1963.0
13,1.0,0,0.0,1.0,0.0,2.0,Los Angeles,2.0,650000.0,6001.0,0,2021-09-01,675000.0,1007.0,1.0,0,single_family,1948.0
14,3.0,0,1.0,2.0,0.0,3.0,Los Angeles,2.0,850000.0,8770.0,0,2021-09-01,855000.0,2303.0,1.0,0,single_family,1957.0
15,3.0,0,0.0,3.0,0.0,5.0,Los Angeles,0.0,850000.0,7543.0,0,2021-09-01,850000.0,2200.0,1.0,0,single_family,1958.0
16,1.0,0,0.0,1.0,0.0,2.0,Los Angeles,1.0,459000.0,5607.0,0,2021-09-01,490000.0,978.0,1.0,0,single_family,1947.0
17,4.0,0,4.0,0.0,0.0,3.0,Los Angeles,2.0,2195000.0,3751.0,0,2021-09-01,2200000.0,2597.0,2.0,0,single_family,1963.0
18,2.0,0,0.0,1.0,1.0,2.0,Los Angeles,0.0,599000.0,28462.0,0,2021-09-01,677000.0,1066.0,2.0,townhouse,townhomes,1981.0
19,1.0,0,0.0,1.0,0.0,3.0,Los Angeles,2.0,595000.0,6092.0,0,2021-09-01,644000.0,1040.0,1.0,0,single_family,1951.0
20,3.0,0,0.0,3.0,0.0,4.0,Los Angeles,0.0,798000.0,6682.0,0,2021-09-01,935000.0,1533.0,1.0,0,single_family,1924.0
21,3.0,0,0.0,2.0,1.0,3.0,Los Angeles,2.0,995000.0,16183.0,0,2021-09-01,1090000.0,1397.0,2.0,townhouse,townhomes,1978.0
22,2.0,0,0.0,2.0,0.0,4.0,Los Angeles,2.0,895000.0,7541.0,0,2021-09-01,925000.0,1727.0,1.0,0,single_family,1961.0
23,2.0,0,0.0,1.0,1.0,2.0,Los Angeles,0.0,749500.0,25051.0,0,2021-09-01,785000.0,1176.0,3.0,condo,condos,1976.0
24,2.0,0,0.0,1.0,1.0,3.0,Los Angeles,2.0,579000.0,359588.0,0,2021-09-01,620000.0,1218.0,2.0,townhouse,townhomes,1974.0
25,3.0,0,2.0,1.0,0.0,5.0,Los Angeles,2.0,1825000.0,6814.0,0,2021-09-01,1750000.0,3141.0,2.0,0,single_family,1933.0
26,2.0,0,0.0,2.0,0.0,4.0,Los Angeles,2.0,1290000.0,6756.0,0,2021-09-01,1275000.0,1984.0,0.0,0,multi_family,1923.0
27,3.0,0,0.0,3.0,0.0,4.0,Los Angeles,0.0,1099000.0,4840.0,0,2021-09-01,1190000.0,1576.0,1.0,0,single_family,1941.0
28,3.0,0,0.0,3.0,0.0,4.0,Los Angeles,2.0,1599000.0,16194.0,0,2021-09-01,1850000.0,2307.0,1.0,0,single_family,1960.0
29,3.0,0,1.0,2.0,0.0,3.0,Los Angeles,0.0,688800.0,6227.0,0,2021-09-01,715000.0,1153.0,1.0,0,single_family,1952.0
30,1.0,0,0.0,1.0,0.0,2.0,Los Angeles,1.0,579000.0,9316.0,0,2021-09-01,590000.0,906.0,1.0,0,single_family,1955.0
31,4.0,0,0.0,2.0,2.0,4.0,Los Angeles,2.0,1250000.0,17939.0,0,2021-09-01,1250000.0,3136.0,2.0,0,single_family,1976.0
32,1.0,0,0.0,1.0,0.0,2.0,Los Angeles,2.0,699000.0,6067.0,0,2021-09-01,747000.0,939.0,1.0,0,single_family,1942.0
33,3.0,0,0.0,3.0,0.0,5.0,Los Angeles,2.0,1100000.0,6970.0,0,2021-09-01,1100000.0,2704.0,2.0,0,single_family,2003.0
34,2.0,0,1.0,1.0,0.0,3.0,Los Angeles,2.0,899000.0,6751.0,0,2021-09-01,1060000.0,1357.0,1.0,0,single_family,1953.0
35,3.0,0,2.0,1.0,0.0,4.0,Los Angeles,0.0,850000.0,6629.0,0,2021-09-01,905000.0,1832.0,1.0,0,single_family,1947.0
36,2.0,0,1.0,1.0,0.0,3.0,Los Angeles,2.0,799995.0,8119.0,0,2021-09-01,789000.0,1536.0,1.0,0,single_family,1954.0
37,3.0,0,0.0,3.0,0.0,4.0,Los Angeles,2.0,1399000.0,19505.0,0,2021-09-01,1475000.0,3021.0,1.0,0,single_family,1964.0
38,5.0,0,0.0,4.0,1.0,4.0,Los Angeles,2.0,2895000.0,10494.0,0,2021-09-01,2500000.0,2999.0,1.0,0,single_family,1940.0
39,3.0,0,1.0,1.0,1.0,3.0,Los Angeles,2.0,575000.0,45076.0,0,2021-09-01,595000.0,1710.0,2.0,townhouse,townhomes,1981.0
40,1.0,0,0.0,1.0,0.0,2.0,Los Angeles,0.0,429900.0,4689.0,0,2021-09-01,450000.0,725.0,1.0,0,single_family,1918.0
